2024-12-04 15:13:02,996 - INFO - 2020-01-31 00:00:00: Selected 179 stocks.
2024-12-04 15:13:02,997 - INFO - 2020-01-31 00:00:00: Portfolio Value = 9,160,743.97
2024-12-04 15:13:03,016 - INFO - Selected Stocks:
Ticker        Name    Close  PER  PBR  DIV      EPS
006650        대한유화  93500.0 2.78 0.44 3.45  41679.0
002460        HS화성  10800.0 2.85 0.39 8.02   4065.0
009200       무림페이퍼   2560.0 3.00 0.23 2.00    833.0
012320      경동인베스트  38050.0 3.06 0.22 1.36  11998.0
034830      한국토지신탁   2005.0 3.06 0.64 5.28    682.0
000400      롯데손해보험   1690.0 3.10 0.49 0.00    666.0
139130     DGB금융지주   6500.0 3.15 0.27 5.11   2233.0
016610      DB금융투자   3870.0 3.20 0.27 5.96   1312.0
016590       신대양제지   6420.0 3.21 0.70 1.19  19674.0
006260          LS  39850.0 3.22 0.48 2.67  14555.0
004140          동방   1346.0 3.43 0.50 0.63    461.0
000860      강남제비스코  19250.0 3.45 0.26 2.68   5942.0
017940          E1  44550.0 3.55 0.27 4.17  13507.0
267290      경동도시가스  18600.0 3.67 0.39 4.12   5793.0
002310       아세아제지   6970.0 3.70 0.55 2.31   8785.0
000880          한화  21750.0 3.72 0.57 2.87   6541.0
006220        제주은행   3745.0 3.78 0.28 2.47   1071.0
009580       무림P&P   3900.0 3.82 0.43 5.85   1119.0
010400     우진아이엔에스   8510.0 3.85 0.58 4.78   2172.0
175330      JB금융지주   5110.0 3.86 0.34 3.35   1391.0
006360        GS건설  28000.0 3.92 0.68 3.28   7788.0
123890      한국자산신탁   2940.0 3.99 0.70 5.99    838.0
002030         아세아 101500.0 4.08 0.32 1.63  26329.0
006740        영풍제지   1441.0 4.08 0.65 1.23    797.0
010780      아이에스동서  28650.0 4.12 0.95 3.66   7961.0
030610        교보증권   8730.0 4.14 0.37 3.82   2216.0
003240        태광산업 933000.0 4.19 0.38 0.28 254395.0
005010         휴스틸   1651.0 4.23 0.19 4.00   2362.0
006840       AK홀딩스  30350.0 4.24 0.55 2.15   8224.0
009410        태영건설  14038.0 4.24 0.91 1.06   2770.0
000660      SK하이닉스  93500.0 4.26 1.47 1.58  22255.0
000370      한화손해보험   2340.0 4.31 0.23 4.65    648.0
011780        금호석유  65400.0 4.32 1.08 1.78  17597.0
001570          금양   2445.0 4.41 1.29 3.40    533.0
210540       디와이파워  10200.0 4.41 0.75 1.96   2311.0
097950      CJ제일제당 237500.0 4.42 0.84 1.43  55416.0
000540        흥국화재   2905.0 4.43 0.29 0.00    695.0
095570      AJ네트웍스   4905.0 4.49 0.70 1.98   1124.0
001340        백광산업   3710.0 4.51 0.71 2.02    548.0
024110        기업은행  10750.0 4.56 0.36 5.97   2531.0
007340     DN오토모티브   5798.0 4.59 0.54 3.41   6391.0
005870         휴니드   6440.0 4.62 0.95 0.00   1590.0
042670   HD현대인프라코어   4164.0 4.65 0.60 0.00   1184.0
002200      한국수출포장   1985.0 4.67 0.35 2.97   4323.0
004970        신라교역  11200.0 4.71 0.37 4.20   2525.0
011170       롯데케미칼 180500.0 4.74 0.59 4.81  46074.0
001200      유진투자증권   2345.0 4.75 0.29 2.63    480.0
002870          신풍   1455.0 4.78 1.00 5.32    315.0
067830     세이브존I&C   2880.0 4.83 0.31 1.54    673.0
001130        대한제분 135500.0 4.84 0.34 1.67  30882.0
088350        한화생명   2050.0 4.84 0.19 4.37    473.0
294870   HDC현대산업개발  20900.0 4.85 0.61 1.97   5232.0
086790      하나금융지주  33200.0 4.88 0.41 5.29   7360.0
161000       애경케미칼   7850.0 4.89 0.76 4.25   1682.0
003530      한화투자증권   1940.0 5.00 0.38 0.00    411.0
004870      티웨이홀딩스   1319.0 5.03 0.70 0.00    344.0
138930     BNK금융지주   6750.0 5.06 0.32 4.02   1475.0
